assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material
GCF_000934645.1	PRJNA224116	SAMN03257517	JWJF00000000.1	na	322	47877	Pseudomonas amygdali pv. tabaci	strain=yuexi-1		latest	Contig	Major	Full	2015/02/25	ASM93464v1	Institute of Plant Protection, Chinese Academy of Agricultural Sciences	GCA_000934645.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/934/645/GCF_000934645.1_ASM93464v1		
GCF_001401095.1	PRJNA224116	SAMN03976270	LJRL00000000.1	na	322	47877	Pseudomonas amygdali pv. tabaci	strain=ICMP2835		latest	Scaffold	Major	Full	2015/10/20	PtaICMP2835	University of Toronto	GCA_001401095.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/401/095/GCF_001401095.1_PtaICMP2835		
GCF_003415755.1	PRJNA224116	SAMN09655562	QPDX00000000.1	na	322	47877	Pseudomonas amygdali pv. tabaci	strain=478		latest	Scaffold	Major	Full	2018/08/22	ASM341575v1	University of Toronto	GCA_003415755.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/415/755/GCF_003415755.1_ASM341575v1		
GCF_003415785.1	PRJNA224116	SAMN09655554	QPDP00000000.1	na	322	47877	Pseudomonas amygdali pv. tabaci	strain=469		latest	Scaffold	Major	Full	2018/08/22	ASM341578v1	University of Toronto	GCA_003415785.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/415/785/GCF_003415785.1_ASM341578v1		
GCF_003416145.1	PRJNA224116	SAMN09655564	QPDZ00000000.1	na	322	47877	Pseudomonas amygdali pv. tabaci	strain=480		latest	Scaffold	Major	Full	2018/08/22	ASM341614v1	University of Toronto	GCA_003416145.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/416/145/GCF_003416145.1_ASM341614v1		
GCF_003416165.1	PRJNA224116	SAMN09655563	QPDY00000000.1	na	322	47877	Pseudomonas amygdali pv. tabaci	strain=479		latest	Scaffold	Major	Full	2018/08/22	ASM341616v1	University of Toronto	GCA_003416165.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/416/165/GCF_003416165.1_ASM341616v1		
GCF_003416585.1	PRJNA224116	SAMN09655530	QPCR00000000.1	na	322	47877	Pseudomonas amygdali pv. tabaci	strain=440		latest	Scaffold	Major	Full	2018/08/22	ASM341658v1	University of Toronto	GCA_003416585.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/416/585/GCF_003416585.1_ASM341658v1		
GCF_003699405.1	PRJNA224116	SAMN03976514	RBNX00000000.1	na	322	47877	Pseudomonas amygdali pv. tabaci	strain=ICMP 2851		latest	Scaffold	Major	Full	2018/10/30	ASM369940v1	University of Toronto	GCA_003699405.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/699/405/GCF_003699405.1_ASM369940v1		
GCF_003700505.1	PRJNA224116	SAMN03976402	RBSE00000000.1	na	322	47877	Pseudomonas amygdali pv. tabaci	strain=ICMP 2812		latest	Scaffold	Major	Full	2018/10/30	ASM370050v1	University of Toronto	GCA_003700505.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/700/505/GCF_003700505.1_ASM370050v1		
GCF_003701185.1	PRJNA224116	SAMN03976430	RBRD00000000.1	na	34065	47877	Pseudomonas amygdali pv. mori	strain=ICMP 535		latest	Scaffold	Major	Full	2018/10/30	ASM370118v1	University of Toronto	GCA_003701185.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/701/185/GCF_003701185.1_ASM370118v1		
GCF_003702255.1	PRJNA224116	SAMN03976377	RBTD00000000.1	na	34065	47877	Pseudomonas amygdali pv. mori	strain=ICMP 6941		latest	Scaffold	Major	Full	2018/10/30	ASM370225v1	University of Toronto	GCA_003702255.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/702/255/GCF_003702255.1_ASM370225v1		
GCF_000935645.1	PRJNA224116	SAMN03328995	JYHB00000000.1	na	47877	47877	Pseudomonas amygdali	strain=CFBP 3205		latest	Scaffold	Major	Full	2015/03/02	PSAVPseNe107-G1	INRA	GCA_000935645.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/935/645/GCF_000935645.1_PSAVPseNe107-G1		assembly from type material
GCF_002699855.1	PRJNA224116	SAMN04092606	LKBW00000000.1	na	47877	47877	Pseudomonas amygdali	strain=ICMP 3918		latest	Scaffold	Major	Full	2017/10/24	ASM269985v1	New Zealand Institute for Plant & Food research	GCA_002699855.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/699/855/GCF_002699855.1_ASM269985v1		assembly from type material
GCF_016307865.1	PRJNA224116	SAMN16885822	JAEIKH000000000.1	na	47877	47877	Pseudomonas amygdali	strain=Kayisi_1_Pss_Erzin		latest	Scaffold	Major	Full	2020/12/22	ASM1630786v1	University of Toronto Mississauga	GCA_016307865.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/307/865/GCF_016307865.1_ASM1630786v1		
GCF_016308165.1	PRJNA224116	SAMN16885806	JAEIJR000000000.1	na	47877	47877	Pseudomonas amygdali	strain=Kaysi_meyve3		latest	Scaffold	Major	Full	2020/12/22	ASM1630816v1	University of Toronto Mississauga	GCA_016308165.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/308/165/GCF_016308165.1_ASM1630816v1		
GCF_001006445.1	PRJNA224116	SAMN03610503	LCWT00000000.1	na	53707	47877	Pseudomonas amygdali pv. lachrymans	strain=98A-744		latest	Scaffold	Major	Full	2015/05/13	PSl_v01	KRIBB	GCA_001006445.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/006/445/GCF_001006445.1_PSl_v01		
GCF_001293835.1	PRJNA224116	SAMN03837736	LGLJ00000000.1	na	53707	47877	Pseudomonas amygdali pv. lachrymans	strain=3988		latest	Scaffold	Major	Full	2015/09/18	Pla3988	University of Toronto	GCA_001293835.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/293/835/GCF_001293835.1_Pla3988		
GCF_001293845.1	PRJNA224116	SAMN03837737	LGLI00000000.1	na	53707	47877	Pseudomonas amygdali pv. lachrymans	strain=YM7902		latest	Scaffold	Major	Full	2015/09/18	PlaYM7902	University of Toronto	GCA_001293845.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/293/845/GCF_001293845.1_PlaYM7902		
GCF_002068135.1	PRJNA224116	SAMN06606132		na	53707	47877	Pseudomonas amygdali pv. lachrymans	strain=NM002		latest	Complete Genome	Major	Full	2017/03/22	ASM206813v1	Institute of Vegetables and Flowers, Chinese Academy of Agricultural Sciences	GCA_002068135.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/068/135/GCF_002068135.1_ASM206813v1		
GCF_002837595.1	PRJNA224116	SAMN06630340	NBLF00000000.1	na	53707	47877	Pseudomonas amygdali pv. lachrymans	strain=814/98		latest	Scaffold	Major	Full	2017/12/12	ASM283759v1	Warsaw University of Life Sciences WULS - SGGW	GCA_002837595.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/837/595/GCF_002837595.1_ASM283759v1		
GCF_003699045.1	PRJNA224116	SAMN03976504	RBOH00000000.1	na	53707	47877	Pseudomonas amygdali pv. lachrymans	strain=YM8003		latest	Scaffold	Major	Full	2018/10/30	ASM369904v1	University of Toronto	GCA_003699045.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/699/045/GCF_003699045.1_ASM369904v1		
GCF_003701815.1	PRJNA224116	SAMN03976379	RBTB00000000.1	na	53707	47877	Pseudomonas amygdali pv. lachrymans	strain=N7512		latest	Scaffold	Major	Full	2018/10/30	ASM370181v1	University of Toronto	GCA_003701815.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/701/815/GCF_003701815.1_ASM370181v1		
GCF_003702155.1	PRJNA224116	SAMN03976358	RBTW00000000.1	na	53707	47877	Pseudomonas amygdali pv. lachrymans	strain=ICMP 3402		latest	Scaffold	Major	Full	2018/10/30	ASM370215v1	University of Toronto	GCA_003702155.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/702/155/GCF_003702155.1_ASM370215v1		
