	Pseudomonas_amygdali_pv_tabaci_6605	Pseudomonas_amygdali_HS1	Pseudomonas_amygdali_pv_lachrymans_NM002	Pseudomonas_amygdali_pv_lachrymans_8	Pseudomonas_amygdali_pv_morsprunorum_R15244	Pseudomonas_amygdali_pv_tabaci_ATCC_11528	Pseudomonas_amygdali_pv_lachrymans_M301315	Pseudomonas_amygdali_35-1	Pseudomonas_syringae_B728a	Pseudomonas_syringae_DC3000	Pseudomonas_savastanoi_1448A	Pseudomonas_amygdali_pv_tabaci_ICMP2835	Pseudomonas_amygdali_pv_tabaci_478	Pseudomonas_amygdali_pv_tabaci_469	Pseudomonas_amygdali_pv_tabaci_480	Pseudomonas_amygdali_pv_tabaci_479	Pseudomonas_amygdali_pv_tabaci_440	Pseudomonas_amygdali_pv_tabaci_ICMP_2851	Pseudomonas_amygdali_pv_tabaci_ICMP_2812	Pseudomonas_amygdali_pv_mori_ICMP_535	Pseudomonas_amygdali_pv_mori_ICMP_6941	Pseudomonas_amygdali_CFBP_3205	Pseudomonas_amygdali_ICMP_3918	Pseudomonas_amygdali_Kayisi_1_Pss_Erzin	Pseudomonas_amygdali_Kaysi_meyve3	Pseudomonas_amygdali_pv_lachrymans_98A_744	Pseudomonas_amygdali_pv_lachrymans_3988	Pseudomonas_amygdali_pv_lachrymans_YM7902	Pseudomonas_amygdali_pv_lachrymans_814_98	Pseudomonas_amygdali_pv_lachrymans_YM8003	Pseudomonas_amygdali_pv_lachrymans_N7512	Pseudomonas_amygdali_pv_lachrymans_ICMP_3402	Pseudomonas_amygdali_pv_lachrymans_ICMP_1448	Pseudomonas_amygdali_pv_sesami_HC_1	Pseudomonas_amygdali_pv_sesami_ICMP763	Pseudomonas_amygdali_pv_sesami_ICMP_4995	Pseudomonas_amygdali_pv_sesami_ICMP_3386	Pseudomonas_amygdali_pv_sesami_ICMP_7459	Pseudomonas_amygdali_pv_morsprunorum_NZIPFR_PS6	Pseudomonas_amygdali_pv_morsprunorum_19322	Pseudomonas_amygdali_pv_morsprunorum_ICMP_3897	Pseudomonas_amygdali_pv_morsprunorum_ICMP_568	Pseudomonas_amygdali_pv_morsprunorum_ICMP_4983	Pseudomonas_amygdali_pv_myricae_AZ84488	Pseudomonas_amygdali_pv_myricae_ICMP7118	Pseudomonas_amygdali_pv_myricae_ICMP_7120	Pseudomonas_amygdali_pv_myricae_ICMP_11510	Pseudomonas_amygdali_pv_myricae_ICMP_11123	Pseudomonas_amygdali_pv_dendropanacis_ICMP9150	Pseudomonas_amygdali_pv_ulmi_ICMP3962	Pseudomonas_amygdali_pv_ulmi_ICMP_5931	Pseudomonas_amygdali_pv_mellea_N6801	Pseudomonas_amygdali_pv_mellea_ICMP5711	Pseudomonas_amygdali_pv_hibisci_ICMP9623	Pseudomonas_amygdali_pv_hibisci_ICMP_9314	Pseudomonas_amygdali_pv_ciccaronei_ICMP5710	Pseudomonas_amygdali_pv_aesculi_0893_23	Pseudomonas_amygdali_pv_morsprunorum_M302280	Pseudomonas_amygdali_pv_lachrymans_M302278	Pseudomonas_amygdali_pv_aesculi_NCPPB_3681	Pseudomonas_amygdali_pv_aesculi_2250
group_00001	0	1	3	11	6	0	2	22	1	4	5	0	1	1	1	1	1	0	1	3	3	1	1	1	1	1	1	0	18	1	1	1	1	3	2	2	2	2	1	2	2	3	0	2	1	1	1	1	2	2	3	0	1	1	1	0	2	1	1	1	1
group_00002	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	3	3	2	3	1	0	0	2	1	0	2	2	3	3	3	2	1	1	2	1	1	3	1	3	1	1	2	2	1	2	3	1	1	4	1	3	2	2	0	1	2	1	1	2
group_00003	1	0	1	2	4	0	2	0	2	2	0	0	1	1	1	1	1	0	0	1	3	3	2	3	3	2	1	2	2	2	2	3	1	1	1	1	1	1	3	2	2	4	3	3	3	3	3	3	3	4	4	0	1	0	0	3	1	2	1	1	1
group_00004	3	2	1	1	3	1	1	3	1	0	2	3	3	3	2	3	2	1	2	2	3	1	2	1	2	1	2	1	1	1	1	1	1	1	1	0	1	1	3	4	3	3	2	2	1	2	2	2	1	0	1	1	2	3	3	1	0	2	2	0	0
group_00005	3	6	0	0	1	0	0	2	5	3	3	3	2	2	2	2	2	3	3	2	4	1	1	0	0	1	2	1	0	1	0	1	2	0	2	1	1	1	0	2	0	0	1	2	2	1	1	3	2	1	1	2	3	1	0	2	1	3	1	1	1
group_00006	2	0	2	3	2	2	3	1	1	1	1	1	2	2	1	2	2	2	1	2	1	1	1	1	1	3	0	3	3	3	3	3	3	2	1	1	2	2	2	3	2	2	1	0	1	0	0	0	1	1	1	2	0	1	1	1	1	1	0	1	1
group_00007	1	0	2	3	2	2	3	1	1	1	0	1	2	2	1	2	2	2	1	2	2	1	1	2	2	3	0	2	3	3	3	3	3	1	1	1	0	1	2	2	2	2	1	0	1	0	0	0	1	2	1	1	0	1	1	2	1	2	0	1	1
group_00008	2	0	0	0	3	3	0	0	4	2	3	2	3	3	2	3	1	1	1	1	2	1	1	1	1	0	1	0	0	0	1	1	1	2	1	0	2	2	2	2	1	2	1	3	1	3	4	2	0	2	2	3	0	0	0	1	1	1	1	1	1
group_00009	2	0	1	2	2	2	2	1	1	1	1	1	2	2	1	2	2	2	1	2	2	1	1	2	2	2	1	2	2	2	2	2	2	1	1	1	1	2	1	1	1	2	1	1	2	1	1	1	2	1	1	2	0	1	1	1	1	1	1	1	1
group_00010	3	0	1	1	2	2	1	2	1	1	1	3	3	3	2	3	2	2	2	0	2	2	2	1	1	1	2	1	1	1	1	1	1	1	1	0	1	1	2	3	2	2	1	1	0	1	1	1	0	0	1	2	1	2	2	0	0	3	2	0	0
group_00011	0	0	0	3	3	1	1	2	0	1	2	1	2	2	2	2	3	1	1	2	1	1	2	2	2	2	1	2	2	3	1	2	4	0	0	0	0	1	2	1	2	2	1	0	2	2	3	3	0	2	2	1	0	1	1	0	0	1	1	0	0
group_00012	1	0	2	3	2	0	3	0	0	4	0	0	1	1	1	1	1	0	0	1	2	1	1	2	2	1	2	2	3	2	2	4	3	0	0	0	0	0	1	1	2	3	2	1	2	1	2	2	2	4	3	0	0	0	0	2	1	1	0	1	2
